일련번호,정산지역코드,정류장ID,버스정류장명,정류장x위치값,정류장Y위치값,행정구역코드
71,26001,6800174,첫마을2단지(임시터미널),12715.6934,3628.8733,0000000000
72,26001,6800175,첫마을3단지,12715.6756,3628.6974,0000000000
73,26001,6800176,첫마을6단지,12715.1836,3628.5234,0000000000
74,26001,6800177,첫마을5단지,12714.9982,3628.6650,0000000000
75,26001,6800178,첫마을4단지,12715.1242,3628.8012,0000000000
76,26001,6800179,첫마을1단지,12715.5256,3629.0046,0000000000
77,26001,6900174,첫마을2단지(임시터미널),12715.6934,3628.8733,0000000000
78,26001,6800006,월하리,12717.5536,3634.6950,3611036000
79,26001,6800007,월하리(항공학교),12717.4882,3634.5222,3611036000
80,26001,6800008,세종장례식장입구,12717.2668,3634.2000,3611036000
81,26001,6800009,세종교통,12717.0832,3633.9624,3611036000
82,26001,6800010,봉암리,12716.9830,3633.8148,3611036000
83,26001,6800011,대원아파트,12716.6902,3633.4998,3611036000
84,26001,6800050,양화1리,12717.7360,3630.1846,0000000000
85,26001,6800051,양화리,12717.5308,3630.2250,0000000000
86,26001,6800052,양화3리,12717.2134,3630.2934,0000000000
87,26001,6800053,진의리입구,12717.1102,3630.2448,0000000000
88,26001,6800586,진의리입구,12717.1156,3630.2448,0000000000
89,26001,6800056,양화3리,12717.2140,3630.2892,0000000000
90,26001,6800057,양화리,12717.5266,3630.2226,0000000000
91,26001,6800058,양화1리,12717.7367,3630.1818,0000000000
92,26001,6800829,도남리마을회관,12714.0046,3626.5854,3611034000
93,26001,6800831,원봉1리,12714.2428,3626.8890,3611034000
94,26001,6800832,원봉2리,12714.6394,3626.8428,3611034000
95,26001,6800833,원봉2리마을회관,12714.8080,3626.7282,3611034000
96,26001,6801139,조치원역뒤편,12717.7063,3635.9836,3611025000
97,26001,6800627,시청별관입구,12717.7282,3631.7712,3611031000
98,26001,6900975,청정아파트,12721.0922,3631.7611,0000000000
99,26001,6900976,황룡사입구,12721.0874,3631.6097,0000000000
100,26001,6900977,청봉사,12721.2158,3631.3311,0000000000
101,26001,6900978,용운사,12720.8178,3631.1123,0000000000
102,26001,6900979,합강2리,12720.5669,3631.0912,0000000000
103,26001,6900980,합강공원,12720.2303,3631.0537,0000000000
104,26001,6900981,합강2리,12720.5551,3631.0886,0000000000
105,26001,6900982,용운사,12720.8043,3631.1049,0000000000
106,26001,6900983,명학2리(용당),12721.2447,3631.2094,0000000000
107,26001,6900984,청봉사,12721.2201,3631.3355,0000000000
108,26001,6900985,황룡사입구,12721.0931,3631.6106,0000000000
109,26001,6900986,청정아파트,12721.1008,3631.7414,0000000000
110,26001,6900091,합강1리,12719.6509,3631.2836,0000000000
111,26001,6900092,합강리,12719.8858,3631.5858,3611032000
112,26001,6900093,삼성전기,12720.1487,3632.2445,0000000000
113,26001,6800952,다정동,12715.3838,3629.6355,3611051000
114,26001,6800956,누리리-1,12717.2210,3632.0616,0000000000
115,26001,6800957,북측환승터미널,12718.2306,3632.2072,0000000000
116,26001,6800958,북측환승터미널,12718.2368,3632.2274,0000000000
117,26001,6800959,누리리,12717.5230,3632.0404,0000000000
118,26001,6800960,누리리-1,12717.2816,3632.0597,0000000000
119,26001,6800746,침산리,12717.6268,3636.4302,3611025000
120,26001,6800747,욱일아파트,12717.6796,3636.1452,3611025000
121,26001,6800909,대동초등학교,12717.7028,3635.7404,0000000000
122,26001,6800338,신안1리입구,12717.4624,3636.8232,3611025000
123,26001,6800339,중앙요양병원,12717.3718,3636.8466,3611025000
124,26001,6800340,신안리마을회관,12717.2314,3636.9822,3611025000
125,26001,6800341,구렁말,12717.3322,3637.0422,3611025000
126,26001,6800084,문주리,12718.6029,3632.7880,0000000000
127,26001,6800087,용호2리,12718.8112,3632.2380,3611032000
128,26001,6800742,용포리,12716.8810,3628.1178,3611034000
129,26001,6800180,금남면사무소,12716.8594,3627.8856,0000000000
130,26001,6800737,신동아아파트,12717.8188,3635.5326,3611025000
131,26001,6800738,세종시청,12717.6280,3635.5206,3611025000
132,26001,6800745,조치원청사,12717.6094,3635.5722,3611025000
133,26001,6800146,신동아아파트,12717.8002,3635.5194,3611025000
134,26001,6800516,감성초등학교,12717.2452,3626.6130,3611034000
135,26001,6800517,감성리,12717.2997,3626.4215,3611034000
136,26001,6800610,송림사입구,12717.6508,3626.3352,3611034000
137,26001,6800612,축산리,12718.3936,3626.3850,3611034000
138,26001,6800613,금천1리,12718.8202,3626.5260,3611034000
139,26001,6800614,금천1리마을회관,12718.9300,3626.5260,3611034000
140,26001,6800615,금천2리마을회관,12719.1886,3626.2938,3611034000
141,26001,6800616,금천1리마을회관,12718.9360,3626.5356,3611034000
142,26001,6800617,금천1리,12718.8262,3626.5362,3611034000
143,26001,6800618,축산리,12718.3912,3626.3970,3611034000
144,26001,6800619,축산리마을회관,12718.0270,3626.4966,3611034000
145,26001,6800620,송림사입구,12717.6412,3626.3394,3611034000
146,26001,6800552,감성리,12717.3005,3626.4169,0000000000
147,26001,6800553,감성초등학교,12717.2644,3626.6022,3611034000
148,26001,6800858,금고동,12723.4336,3628.0074,3020058000
149,26001,6800246,용암리(금단마을),12713.6586,3635.6647,3611036000
150,26001,6800247,신대2리(송적골),12713.9920,3635.4048,3611036000
151,26001,6800248,신대2리마을회관,12714.8902,3635.0724,3611036000
152,26001,6800249,연서초등학교,12715.2237,3634.9192,0000000000
153,26001,6800250,연서중학교,12715.4056,3634.8594,3611036000
154,26001,6800251,서면,12715.6756,3635.1768,3611036000
155,26001,6800252,서세종농협,12715.8376,3635.3082,3611036000
156,26001,6801128,한마음효요양병원,12716.9950,3638.0322,3611025000
157,26001,6900145,자이아파트,12717.5132,3635.4456,0000000000
158,26001,6801025,용담리,12717.0624,3625.3668,0000000000
159,26001,6801026,안산교,12717.8738,3624.9611,0000000000
160,26001,6801027,안상산성,12717.8663,3624.7568,0000000000
161,26001,6801028,안산1동,12717.9774,3624.6265,0000000000
162,26001,6801029,국방과학연구소,12718.1838,3624.3625,0000000000
163,26001,6801030,국방과학연구소,12718.1880,3624.3541,0000000000
164,26001,6801031,안산1동,12717.9717,3624.6354,0000000000
165,26001,6801032,안산산성,12717.8882,3624.8762,0000000000
166,26001,6801033,안산교,12717.8777,3624.9736,0000000000
167,26001,6801034,용담리,12717.0683,3625.3660,0000000000
168,26001,6801035,옹기마을,12716.8547,3625.6036,0000000000
169,26001,6801036,국곡리,12716.6096,3625.6909,0000000000
170,26001,6801037,국곡리32사단,12716.1234,3625.6190,0000000000
171,26001,6801038,국곡리,12716.6064,3625.6823,0000000000
172,26001,6801039,두만리,12716.9667,3626.0472,0000000000
173,26001,6801040,감성리,12717.2958,3626.4115,0000000000
174,26001,6801041,감성초등학교,12717.2610,3626.6017,0000000000
175,26001,6800532,유성리베라호텔,12720.2772,3621.2852,0000000000
176,26001,6800533,유성온천역,12720.5160,3621.2586,0000000000
177,26001,6800534,홍인호텔,12720.6018,3621.4968,0000000000
178,26001,6800535,충남대학교,12720.6664,3621.6810,0000000000
179,26001,6800536,한진오피스텔,12720.5765,3621.4898,0000000000
180,26001,6800537,유성온천역,12720.5046,3621.2905,0000000000
181,26001,6800538,유성온천역5번출구,12720.3965,3621.2570,0000000000
182,26001,6800539,유성자이아파트,12720.2094,3621.3370,0000000000
183,26001,6800540,유성고속버스터미널,12720.1884,3621.4894,0000000000
184,26001,6800541,유성전화국,12720.0590,3621.7874,0000000000
185,26001,6800542,죽동삼거리,12719.8985,3622.0111,0000000000
186,26001,6800543,노은화훼단지,12719.6280,3622.1828,0000000000
187,26001,6800544,유성여고입구,12719.4585,3622.6028,0000000000
188,26001,6800191,열매마을5단지,12719.1937,3622.5607,0000000000
189,26001,6800192,지족초등학교,12719.0956,3622.8084,0000000000
190,26001,6800193,노은도서관,12719.1532,3622.9236,0000000000
191,26001,6800194,지족역,12719.2072,3623.1144,0000000000
192,26001,6800195,송림마을아파트,12719.0854,3623.2698,0000000000
193,26001,6800196,반석역,12718.9258,3623.4882,0000000000
194,26001,6800197,반석마을입구,12718.7541,3623.7185,0000000000
195,26001,6800198,외삼동,12718.6000,3623.9616,0000000000
196,26001,6800545,국방과학연구소,12718.1873,3624.3727,0000000000
197,26001,6800547,안산산성,12717.8891,3624.8763,0000000000
198,26001,6800548,안산교,12717.8777,3624.9736,0000000000
199,26001,6800549,용담리,12717.0683,3625.3660,0000000000
200,26001,6800550,옹기마을,12716.8547,3625.6036,0000000000
201,26001,6900519,국곡리,12716.6096,3625.6909,0000000000
202,26001,6900520,국곡리32사단,12716.1234,3625.6190,0000000000
203,26001,6900521,국곡리,12716.6064,3625.6823,0000000000
204,26001,6800551,두만리,12716.9676,3626.0466,0000000000
205,26001,6800183,두만2리,12717.5171,3625.5436,0000000000
206,26001,6800199,두만2리,12717.4815,3625.6404,0000000000
207,26001,6900203,첫마을3단지(정부청사행),12715.6792,3628.6949,0000000000
208,26001,6900204,첫마을6단지(정부청사행),12715.1858,3628.5223,0000000000
209,26001,6900205,첫마을5단지(정부청사행),12715.0026,3628.6642,0000000000
210,26001,6900206,첫마을4단지(정부청사행),12715.1143,3628.8026,0000000000
211,26001,6900207,첫마을1단지(정부청사행),12715.5176,3629.0018,0000000000
212,26001,6800754,오송역,12719.7034,3637.1539,0000000000
213,26001,6800761,정부세종청사북측,12715.6697,3630.2505,3611052000
214,26001,6800762,도담동,12715.5512,3630.8439,3611052000
215,26001,6900754,오송역,12719.7211,3637.1705,0000000000
216,26001,6800946,대동초등학교,12717.6063,3635.7329,0000000000
217,26001,6800949,한별리,12716.5129,3632.0407,3611031000
218,26001,6801912,대동초등학교,12717.7227,3635.7351,3611025000
219,26001,6801849,세종세무서,12717.6396,3636.3559,3611025000
220,26001,6801911,대동초등학교,12717.6130,3635.7359,3611025000
221,26001,6800825,원봉1리,12714.3544,3627.0042,3611034000
222,26001,6800834,영곡2리,12715.5028,3626.8872,3611034000
223,26001,6800835,영곡리,12715.8430,3627.1032,3611034000
224,26001,6800836,성덕2리,12716.0146,3627.3450,3611034000
225,26001,6800621,도암리마을회관,12716.6950,3626.6244,3611034000
226,26001,6800622,도암리,12716.5372,3626.7420,3611034000
227,26001,6800623,도암리마을회관,12716.6912,3626.6286,0000000000
228,26001,6800837,초정약수터,12720.1144,3628.7694,3611034000
229,26001,6800838,대박리(광덕사),12720.6454,3628.6908,3611034000
230,26001,6800839,대박리,12720.9640,3628.6242,3611034000
231,26001,6800840,박산리,12721.2760,3628.6326,3611034000
232,26001,6800841,박산고개,12721.7470,3628.5018,3611034000
233,26001,6800844,박산고개,12721.7434,3628.5096,3611034000
234,26001,6800845,박산리,12721.2598,3628.6380,3611034000
235,26001,6800846,대박리,12720.9706,3628.6296,3611034000
236,26001,6800847,대박리(광덕사),12720.6670,3628.6974,3611034000
237,26001,6800848,초정약수터,12720.1480,3628.7616,3611034000
238,26001,6800036,대원아파트후문,12716.8522,3633.6408,3611036000
239,26001,6800037,봉암리,12717.0070,3633.8322,3611036000
240,26001,6800038,세종교통,12717.0946,3633.9624,3611036000
241,26001,6800040,월하리(항공학교),12717.5272,3634.5798,3611036000
242,26001,6800041,월하리,12717.5656,3634.7052,3611036000
243,26001,6800047,연기리,12716.6267,3632.6867,0000000000
244,26001,6800048,연기면사무소,12716.4589,3632.5002,0000000000
245,26001,6800059,연기리,12716.6090,3632.6617,0000000000
246,26001,6800029,정부세종청사남측,12715.6078,3630.0972,0000000000
247,26001,6800030,정부세종청사북측,12715.6789,3630.2424,0000000000
248,26001,6800031,도담동(도램마을),12715.5636,3630.8410,3611052000
249,26001,6800698,평기리(상정말),12711.8262,3630.8110,0000000000
250,26001,6800699,송학사거리,12711.6024,3632.1527,0000000000
251,26001,6800705,용암1리마을회관,12712.5194,3632.9328,0000000000
252,26001,6800712,의랑초등학교,12711.1925,3632.8780,0000000000
253,26001,6800716,평기리(상정말),12711.8209,3630.8117,0000000000
254,26001,6800127,봉안리,12713.3146,3629.9394,0000000000
255,26001,6800167,와촌효방동,12713.9943,3633.3934,0000000000
256,26001,6800168,대륙테크놀로지,12714.2424,3633.3826,0000000000
257,26001,6800169,와촌보건진료소앞,12714.7833,3633.3933,0000000000
258,26001,6800170,와촌리기와말,12714.9234,3633.4076,0000000000
259,26001,6800171,번암터,12715.2320,3633.7900,0000000000
260,26001,6800172,와촌1리대실,12715.6277,3633.5220,0000000000
261,26001,6800024,대평리,12716.8642,3628.1244,0000000000
262,26001,6800025,충남대의료원(LH공사),12716.7862,3628.1712,0000000000
263,26001,6800026,첫마을임시터미널,12715.7140,3628.8768,0000000000
264,26001,6800060,첫마을1단지,12715.5520,3629.0307,0000000000
265,26001,6800062,첫마을4단지,12715.0984,3628.8120,0000000000
266,26001,6800063,첫마을5단지,12714.9856,3628.6572,0000000000
267,26001,6800064,첫마을6단지,12715.1950,3628.5042,0000000000
268,26001,6800259,연서초등학교,12715.2364,3634.9218,3611036000
269,26001,6800275,신대1리마을회관,12715.0882,3634.8672,3611036000
270,26001,6800276,신대1리,12715.0882,3634.6902,3611036000
271,26001,6800277,기룡리(효교동),12714.7828,3634.6014,3611036000
272,26001,6800278,평전,12714.2590,3634.4304,3611036000
273,26001,6800279,기룡리복지회관,12714.0514,3634.3884,3611036000
274,26001,6800280,기룡정미소,12713.9458,3634.3620,3611036000
275,26001,6800281,기룡리,12713.4544,3634.2744,3611036000
276,26001,6800282,기룡리정미소,12713.9584,3634.3596,3611036000
277,26001,6800283,기룡리복지회관,12714.0622,3634.3824,3611036000
278,26001,6800284,평전,12714.2962,3634.4292,3611036000
279,26001,6800285,기룡리(효교동),12714.7726,3634.5924,3611036000
280,26001,6800286,신대1리,12715.0948,3634.6806,3611036000
281,26001,6800287,연서감리교회,12715.3612,3634.6554,3611036000
282,26001,6800288,국촌2리,12715.5616,3634.6266,3611036000
283,26001,6800289,국촌2리마을회관,12715.8994,3634.5396,3611036000
284,26001,6800290,국촌1리,12716.3500,3634.3782,3611036000
285,26001,6800291,국촌1리(함박산),12716.7442,3634.2822,3611036000
286,26001,6800292,세종장례식장,12717.2734,3634.2120,0000000000
287,26001,6800293,세종장례식장,12716.9290,3634.2888,3611036000
288,26001,6800294,국촌1리(함박산),12716.7322,3634.2900,3611036000
289,26001,6800295,국촌1리,12716.3530,3634.3914,3611036000
290,26001,6800296,국촌2리마을회관,12715.9042,3634.5468,3611036000
291,26001,6800297,국촌2리,12715.5550,3634.6362,3611036000
292,26001,6800298,연서감리교회,12715.3792,3634.6602,3611036000
293,26001,6800299,신대리,12715.1008,3634.8594,0000000000
294,26001,6800137,농업기술센터,12717.0124,3634.3278,3611036000
295,26001,6800138,쌍전리(우리요양원),12716.1622,3634.6854,3611036000
296,26001,6800139,전당골,12716.0992,3634.9452,3611036000
297,26001,6800140,쌍전리(우리요양원),12716.1538,3634.6836,3611036000
298,26001,6800142,월하2리,12717.0682,3635.0238,3611036000
299,26001,6800143,도원초등학교,12717.1930,3635.1456,3611036000
300,26001,6801109,은하수공원(종점),12714.7120,3631.9644,0000000000
301,26001,6801110,은하수공원(기점),12714.7120,3631.9644,0000000000
302,26001,6801136,송용3리(신촌),12718.4896,3634.1321,3611032000
303,26001,6801121,영치리,12718.4902,3627.0258,3611034000
304,26001,6801122,금천1리,12718.8185,3626.5434,0000000000
305,26001,6800469,한국콜마,12711.6118,3640.8474,3611037000
306,26001,6800471,신방2리마을회관,12712.3588,3640.5600,3611037000
307,26001,6800478,한국콜마,12711.6028,3640.8522,3611037000
308,26001,6801083,외삼1동,12718.6045,3624.2000,0000000000
309,26001,6801084,노은도서관,12719.1406,3622.9399,0000000000
310,26001,6801085,지족초등학교,12719.0645,3622.7767,0000000000
311,26001,6801086,노은역,12719.0649,3622.4143,0000000000
312,26001,6801087,월드컵경기장역,12719.0640,3622.1330,0000000000
313,26001,6801088,노은농수산시장,12719.2901,3621.9980,0000000000
314,26001,6801089,노은농수산시장,12719.2892,3622.0240,0000000000
315,26001,6801090,월드컵경기장역,12719.0801,3622.0754,0000000000
316,26001,6801092,외삼1동,12718.6120,3624.1937,0000000000
317,26001,6901021,국곡리,12716.6096,3625.6909,0000000000
318,26001,6901022,국곡리32사단,12716.1234,3625.6190,0000000000
319,26001,6901023,국곡리,12716.6064,3625.6823,0000000000
320,26001,6801115,첫마을7단지,12715.3402,3628.4975,0000000000
321,26001,6801116,첫마을3단지,12715.6792,3628.6818,0000000000
322,26001,6800102,미경동,12719.1106,3635.1924,0000000000
323,26001,6800103,서평리,12718.7908,3635.9112,3611025000
324,26001,6800877,신탄진,12725.7140,3627.1660,0000000000
325,26001,6800878,신탄진,12725.7305,3627.1706,0000000000
326,26001,6800881,달계리,12725.5780,3628.4700,4371037000
327,26001,6800888,등곡리,12723.0994,3630.4410,3611033000
328,26001,6800135,하봉리마을회관,12711.4189,3629.7452,0000000000
329,26001,6800017,정부세종청사북측,12715.6858,3630.3072,0000000000
330,26001,6800018,정부세종청사남측,12715.5631,3630.0502,0000000000
331,26001,6800300,방축골(갑부농원),12716.5594,3636.0198,3611025000
332,26001,6800301,봉산1리,12716.6536,3636.2916,3611025000
333,26001,6800302,봉산1리마을회관,12716.6806,3636.4086,3611025000
334,26001,6800303,봉산리,12716.8486,3636.3660,3611025000
335,26001,6800304,서창리,12717.0526,3636.3072,3611025000
336,26001,6800305,세종여자고등학교,12717.2968,3636.3828,3611025000
337,26001,6800913,해정리,12716.6536,3643.1820,4413135000
338,26001,6800920,송내리,12717.5704,3645.0816,4413135000
339,26001,6800934,상록리조트후문,12717.0352,3644.1972,4413135000
340,26001,6800506,심중2리입구,12716.2854,3638.9785,0000000000
341,26001,6800827,금강수목원(산림박물관),12714.1294,3626.2692,3611034000
342,26001,6800607,연기3리(개골),12717.0960,3632.2658,0000000000
343,26001,6800075,조치원버스터미널,12718.2114,3636.1475,3611025000
344,26001,6800077,서평리,12718.7782,3635.9184,3611025000
345,26001,6800078,동평3리,12719.1154,3635.2080,3611025000
346,26001,6800079,미경동,12719.1100,3635.1984,0000000000
347,26001,6800111,연동중학교,12719.6776,3633.1650,0000000000
348,26001,6800306,부강버스정류소,12721.9744,3631.7958,0000000000
349,26001,6801123,두만2리,12717.4786,3625.6320,0000000000
350,26001,6800001,조치원역,12717.8278,3636.0594,3611025000
351,26001,6800002,조치원전통시장,12717.8914,3635.9965,3611025000
352,26001,6800004,번암리,12717.9046,3635.3040,3611025000
353,26001,6800005,번암아파트,12717.7492,3635.1462,3611025000
354,26001,6800136,번암삼거리,12717.6496,3635.0406,3611025000
355,26001,6800144,자이아파트정문,12717.4348,3635.3082,0000000000
356,26001,6800145,자이아파트,12717.5132,3635.4456,0000000000
357,26001,6800150,세종시문화예술회관,12717.4450,3635.8800,3611025000
358,26001,6800151,신봉초등학교,12717.4096,3636.1014,3611025000
359,26001,6800152,세종여자고등학교입구,12717.4849,3636.4106,3611025000
360,26001,6800153,고려대학교,12717.6064,3636.6456,3611025000
361,26001,6800154,새주막거리,12717.6754,3636.7416,3611025000
362,26001,6800155,세종고등학교,12717.7996,3636.6144,3611025000
363,26001,6800156,조치원여중,12717.8332,3636.3456,0000000000
364,26001,6800157,세종우체국,12717.8734,3636.1776,3611025000
365,26001,6800158,세종중학교,12717.8446,3636.3468,3611025000
366,26001,6800159,세종고등학교,12717.8080,3636.6102,3611025000
367,26001,6800160,새주막거리,12717.6730,3636.7536,3611025000
368,26001,6800161,고려대학교,12717.5872,3636.6492,0000000000
369,26001,6800162,세종여자고등학교입구,12717.4758,3636.4208,3611025000
370,26001,6800163,신봉초등학교,12717.3827,3636.1648,0000000000
371,26001,6800164,세종시문화예술회관,12717.4199,3635.9311,0000000000
372,26001,6800165,자이아파트,12717.5038,3635.4498,3611025000
373,26001,6800166,자이아파트정문,12717.4438,3635.2974,0000000000
374,26001,6800149,번암삼거리,12717.6454,3635.0190,3611025000
375,26001,6800042,번암아파트,12717.8304,3635.2019,3611025000
376,26001,6800044,효성세종병원,12717.9370,3635.8230,3611025000
377,26001,6800045,조치원전통시장,12717.9166,3635.9388,3611025000
378,26001,6800019,성남고등학교,12715.3702,3629.6340,0000000000
379,26001,6800636,세종시민체육관,12717.0862,3635.6730,3611025000
380,26001,6800643,신관중앙로,12708.3733,3628.4669,4415057000
381,26001,6801097,첫마을7단지,12715.3216,3628.5048,0000000000
382,26001,6800342,홍익대학교,12717.4432,3637.3068,3611025000
383,26001,6800343,신안2리(안터),12717.3964,3637.5798,3611025000
384,26001,6800344,신안2리입구,12717.3454,3637.7556,3611025000
385,26001,6800345,조형아파트,12717.3268,3638.0826,3611025000
386,26001,6800357,미곡리,12713.1784,3639.8508,3611038000
387,26001,6800360,전의역,12712.2343,3640.7681,0000000000
388,26001,6801057,한솔동(첫마을),12715.6932,3628.8681,3611051000
389,26001,6801051,용포리,12716.8780,3628.1052,3611034000
390,26001,6801015,금남면사무소,12716.8582,3627.8832,3611034000
391,26001,6801016,발산리,12717.0430,3627.3828,3611034000
392,26001,6801017,도암리입구,12717.1342,3626.8386,3611034000
393,26001,6801065,두만2리,12717.5144,3625.5446,0000000000
394,26001,6801066,두만2리,12717.4684,3625.6416,3611034000
395,26001,6801042,도암리입구,12717.1450,3626.8146,3611034000
396,26001,6801043,발산리,12717.0508,3627.3888,3611034000
397,26001,6801044,금남면사무소,12716.8588,3627.8538,3611034000
398,26001,6801045,대평리,12716.9014,3628.0986,0000000000
399,26001,6901058,첫마을3단지,12715.6756,3628.6974,0000000000
400,26001,6901059,첫마을6단지,12715.1836,3628.5234,0000000000
401,26001,6901060,첫마을5단지,12714.9982,3628.6650,0000000000
402,26001,6901061,첫마을4단지,12715.1242,3628.8012,0000000000
403,26001,6901062,첫마을1단지,12715.5256,3629.0046,0000000000
404,26001,6801072,공정거래위원회,12716.0338,3630.2477,0000000000
405,26001,6801014,대평리,12716.8780,3628.1117,0000000000
406,26001,6801020,두만리,12716.9763,3626.0572,0000000000
407,26001,6801021,국곡리,12716.6096,3625.6909,0000000000
408,26001,6801022,국곡리32사단,12716.1234,3625.6190,0000000000
409,26001,6801023,국곡리,12716.6064,3625.6823,0000000000
410,26001,6800222,신흥주공아파트,12717.3838,3635.7138,3611025000
411,26001,6800223,세종시민체육관,12717.0868,3635.6808,3611025000
412,26001,6800224,월하1리마을회관,12716.4802,3635.6238,3611036000
413,26001,6800225,연서면사무소,12716.2960,3635.5224,3611036000
414,26001,6800226,성제1리마을회관,12716.1514,3635.5176,3611036000
415,26001,6800227,성제삼거리,12715.8598,3635.3532,3611036000
416,26001,6800228,성제2리,12715.7176,3635.4840,3611036000
417,26001,6800229,고복1리,12715.6924,3635.8014,3611036000
418,26001,6800230,고복1리마을회관,12715.4770,3636.2772,3611036000
419,26001,6800231,고복리,12715.0672,3636.4200,3611036000
420,26001,6800232,고복저수지입구,12714.9130,3636.5628,3611036000
421,26001,6800233,고복리조각공원,12714.8668,3636.7674,3611036000
422,26001,6800234,고복2리,12714.5962,3636.8094,3611036000
